Ground Truth,Channel 2,Channel 3
0.5,479,479
0.75,720,720
1,959,959
1.5,1440,1439
2,1921,1919
2.5,2401,2399
3,2882,2880
3.5,3361,3360
4,4842,3839
4.5,4321,4319
5,4800,4798
5.5,5277,5275
6,5752,5751
6.498,6222,6222
6.999,6687,6691
7.498,7142,7149
7.998,7582,7596
8.497,8006,8028
8.999,9409,8442
9.499,8787,8834
9.998,9140,9200
10.498,9466,9541
10.998,9766,9758
11.498,10043,10147
11.998,10276,10415
12.497,10531,10661
12.597,10575,10707
12.697,10619,10754
12.798,10661,10799
12.899,10704,10844
12.999,10746,10888
13.097,10786,10931
13.197,10826,10974
13.297,10867,11015
13.398,10905,11057
13.498,10944,11098
13.598,10972,11138
13.698,11020,11178
13.797,11057,11216
13.897,11093,11254
13.998,11129,11293
14.098,11165,11330
14.198,11199,11366
14.298,11234,11402
14.397,11267,11437
14.497,11300,11473
14.597,11333,11508
14.698,11366,11542
14.798,11399,11575
14.898,11430,11609
14.998,11461,11641
